Objeto,Tempo (segundos),T^2/2,Altura (cm)
caneta ,0.72,0.2592,185
canetao,0.47,0.11045,156
canetao,0.53,0.14045,156
canetao,0.575,0.1653125,183
canetao,0.48,0.1152,183
canetao,0.55,0.15125,183
canetao,0.565,0.1596125,183
canetao,0.575,0.1653125,183
canetao,0.505,0.1275125,160
canetao,0.5,0.125,160
canetao,0.575,0.1653125,160
canetao,0.565,0.1596125,160
canetao,0.45,0.10125,160
canetao,0.8,0.32,171
canetao,0.45,0.10125,158
canetao,0.44,0.0968,158
canetao,0.46,0.1058,158
canetao,0.6,0.18,158
canetao,0.51,0.13005,158
canetao,0.54,0.1458,162
canetao,0.6,0.18,162
canetao,0.67,0.22445,171
