Objeto,Altura (cm),Tempo (segundos),T^2/2
caneta ,185,0.72,0.2592
canetao,156,0.47,0.11045
canetao,156,0.53,0.14045
canetao,183,0.575,0.1653125
canetao,183,0.48,0.1152
canetao,183,0.55,0.15125
canetao,183,0.565,0.1596125
canetao,183,0.575,0.1653125
canetao,160,0.505,0.1275125
canetao,160,0.5,0.125
canetao,160,0.575,0.1653125
canetao,160,0.565,0.1596125
canetao,160,0.45,0.10125
canetao,171,0.8,0.32
canetao,158,0.45,0.10125
canetao,158,0.44,0.0968
canetao,158,0.46,0.1058
canetao,158,0.6,0.18
canetao,158,0.51,0.13005
canetao,162,0.54,0.1458
canetao,162,0.6,0.18
canetao,171,0.67,0.22445
